Year,Pilot,Colors,Format
2016,Lukas Blohon,WB,Standard
2016,Owen Turtenwald,RUG,Standard
2016,Luis Scott-Vargas,WUG,Standard
2016,Samuel Pardee,GB,Standard
2016,Yuta Takahashi,WUG,Standard
2016,Reid Duke,RG,Standard
2016,Ken Yukuhiro,RG,Standard
2016,Andrew Brown,RUG,Standard
2016,Shota Yasooka,BUR,Standard
2016,Carlos Romao,WUR,Standard
2016,Ben Hull,WR,Standard
2016,Makis Matsoukas,WR,Standard
2016,Joey Manner,UW,Standard
2016,Shi Tian Lee,WRB,Standard
2016,Matthew Nass,RUG,Standard
2016,Pierre Dagen,UR,Standard
2017,Lucas Esper Berthound,WRB,Standard
2017,Marcio Carvelho,WRB,Standard
2017,Donald Smith,WRB,Standard
2017,Eduardo Sajgalik,WRB,Standard
2017,Yuchen Liu,WRB,Standard
2017,Paulo Vitor Damo da Rosa,WRB,Standard
2017,Jan Ksandr,GB,Standard
2017,Martin Juza,RGB,Standard
2017,Gerry Thompson,B,Standard
2017,Yuuya Watanabe,RUG,Standard
2017,Ken Yukuhiro,GB,Standard
2017,Martin Muller,RUG,Standard
2017,Chris Fennell,RUG,Standard
2017,Marc Tobiasch,RUG,Standard
2017,Christian Calcano,B,Standard
2017,Eric Froehlich,WB,Standard
2017,Paulo Vitor Damo da Rosa,R,Standard
2017,Samuel Pardee,GB,Standard
2017,Samuel Black,R,Standard
2017,Wing Chun Yam,R,Standard
2017,Yasuke Sasabe,B,Standard
2017,Shintaro Kurata,RB,Standard
2017,Felix Leong,R,Standard
2017,Seth Manfield,R,Standard
2017,Seth Manfield,BUG,Standard
2017,Pascal Maynard,UW,Standard
2017,Samuel Ihlenfeldt,WRB,Standard
2017,John Rolf,R,Standard
2017,Mike Sigrist,UBRG,Standard
2017,Piotr Glogowski,UBRG,Standard
2017,Guillaume Matignon,WUR,Standard
2017,Christian Hauck,RUG,Standard
2018,Luis Salvatto,BUG,Modern
2018,Gerry Thompson,WRB,Modern
2018,Ken Yukuhiro,RB,Modern
2018,Pascal Vieren,UR,Modern
2018,Ried Duke,WGB,Modern
2018,Javier Dominguez,WUBRG,Modern
2018,Andrea Mengucci,WUBRG,Modern
2018,Jean-Emmanual Depraz,BUG,Modern
2018,Wyatt Darby,R,Standard
2018,Goncalo Pinto,RB,Standard
2018,Owen Turtenwald,RB,Standard
2018,Marcio Carvalho,RB,Standard
2018,Kazuyuki Takimura,WUB,Standard
2018,Thomas Hendriks,RB,Standard
2018,Ernest Lim,RB,Standard
2018,Manuel Lenz,R,Standard
2018,Andrew Elenbogen,WR,Standard
2018,Luis Scott-Vargas,WR,Standard
2018,Jeremy Dezani,WR,Standard
2018,Tayu Jun Hao,WR,Standard
2018,Kasper Nielson,WR,Standard
2018,Yuuya Watanabe,UR,Standard
2018,Wilson Mok,WUR,Standard
2018,Michael Bernat,W,Standard
2023,Ried Duke,RUG,Pioneer
2023,Benton Madsen,WG,Pioneer
2023,Takumi Matsuura,W,Pioneer
2023,Derrick Davis,WURG,Pioneer
2023,Shota Yasooka,RB,Pioneer
2023,Nathan Steuer,BUG,Pioneer
2023,Chris Ferber,BUG,Pioneer
2023,Gabrial Nassif,RUG,Pioneer
2023,Nathan Streuer,RB,Standard
2023,Cain Rianhard,RB,Standard
2023,Autumn Burchett,WB,Standard
2023,David Olsen,WUBRG,Standard
2023,Javier Dominguez,RB,Standard
2023,Karl Sarap,RB,Standard
2023,Simon Nielsen,RB,Standard
2023,Yiwen Chen,UW,Standard
2023,Jake Beardsley,RB,Modern
2023,Christian Calcano,G,Modern
2023,Dominic Harvey,G,Modern
2023,Simon Nielsen,G,Modern
2023,Kai Budde,RUG,Modern
2023,Marco Del Pivo,RUG,Modern
2023,Stefano Vinci,RUG,Modern
2023,Javier Dominguez,G,Modern
2024,Seth Manfield,RB,Pioneer
2024,Simon Nielsen,WR,Pioneer
2024,Christoffer Larsen,WGB,Pioneer
2024,Mingyang Chen,BUG,Pioneer
2024,Seam Pardee,RB,Pioneer
2024,Alex Friedrichsen,BUG,Pioneer
2024,Adam Edelson,UR,Pioneer
2024,Jean-Emmanuel Depraz,UR,Pioneer
2024,Yoshihiko Ikawa,WUBRG,Standard
2024,Yuta Takahashi,UW,Standard
2024,Takumi Matsuura,WR,Standard
2024,Arne Huschenbeth,WUB,Standard
2024,Rei Zhang,UBRG,Standard
2024,Lucas Duchow,WUB,Standard
2024,Jason Ye,UBRG,Standard
2024,Sean Goddard,RUG,Standard
2024,Simon Nielsen,WUG,Modern
2024,Samuel Pardee,WUG,Modern
2024,Eli Kassis,WUG,Modern
2024,Daniel Goetschel,WUG,Modern
2024,Seth Manfield,B,Modern
2024,Noah Ma,B,Modern
2024,Jason Ye,WUG,Modern
2024,Javier Dominguez,WUR,Modern
